"Package"	"LibPath"	"Version"	"Priority"	"Depends"	"Imports"	"LinkingTo"	"Suggests"	"Enhances"	"License"	"License_is_FOSS"	"License_restricts_use"	"OS_type"	"MD5sum"	"NeedsCompilation"	"Built"
"broom"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.5"	NA	"R (>= 3.5)"	"backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, lifecycle, purrr, rlang, stringr, tibble (>= 3.0.0),
tidyr (>= 1.0.0)"	NA	"AER, AUC, bbmle, betareg, biglm, binGroup, boot, btergm (>=
1.10.6), car, carData, caret, cluster, cmprsk, coda, covr, drc,
e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam
(>= 1.15), gee, geepack, ggplot2, glmnet, glmnetUtils, gmm,
Hmisc, irlba, interp, joineRML, Kendall, knitr, ks, Lahman,
lavaan, leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, margins, MASS, mclust, mediation, metafor, mfx,
mgcv, mlogit, modeldata, modeltests, muhaz, multcomp, network,
nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych, quantreg,
rmarkdown, robust, robustbase, rsample, sandwich, sp, spdep (>=
1.1), spatialreg, speedglm, spelling, survey, survival,
systemfit, testthat (>= 2.1.0), tseries, vars, zoo"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"bslib"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.4.2"	NA	"R (>= 2.10)"	"grDevices, htmltools (>= 0.5.4), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang, cachem, memoise (>= 2.0.1),
base64enc, mime"	NA	"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl, magrittr, fontawesome, bsicons"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"cachem"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.6"	NA	NA	"rlang, fastmap"	NA	"testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"callr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.7.3"	NA	"R (>= 3.4)"	"processx (>= 3.6.1), R6, utils"	NA	"asciicast, cli (>= 1.1.0), covr, mockery, ps, rprojroot,
spelling, testthat (>= 3.0.0), withr (>= 2.3.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"car"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.1-2"	NA	"R (>= 3.5.0), carData (>= 3.0-0)"	"abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, lme4 (>= 1.1-27.1), nlme,
scales"	NA	"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, mvtnorm, rgl (>= 0.111.3), rio, sandwich,
SparseM, survival, survey"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.0"
"carData"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.0-5"	NA	"R (>= 3.5.0)"	NA	NA	"car (>= 3.0-0)"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.0"
"caret"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"6.0-94"	NA	"ggplot2, lattice (>= 0.20), R (>= 3.2.0)"	"e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)"	NA	"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"cellranger"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1.0"	NA	"R (>= 3.0.0)"	"rematch, tibble"	NA	"covr, testthat (>= 1.0.0), knitr, rmarkdown"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"class"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"7.3-20"	"recommended"	"R (>= 3.0.0), stats, utils"	"MASS"	NA	NA	NA	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.2"
"classInt"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.4-10"	NA	"R (>= 2.2)"	"grDevices, stats, graphics, e1071, class, KernSmooth"	NA	"spData (>= 0.2.6.2), units, knitr, rmarkdown, tinytest"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"cli"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.6.2"	NA	"R (>= 3.4)"	"utils"	NA	"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, mockery, processx, ps
(>= 1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"clipr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.8.0"	NA	NA	"utils"	NA	"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)"	NA	"GPL-3"	NA	NA	NA	NA	"no"	"4.2.0"
"clock"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.7.0"	NA	"R (>= 3.5.0)"	"cli (>= 3.6.1), lifecycle (>= 1.0.3), rlang (>= 1.1.0), tzdb
(>= 0.4.0), vctrs (>= 0.6.1)"	"cpp11 (>= 0.4.3), tzdb (>= 0.4.0)"	"covr, knitr, magrittr, pillar, rmarkdown, slider (>= 0.3.0),
testthat (>= 3.0.0), withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"clue"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.3-65"	NA	"R (>= 3.2.0)"	"stats, cluster, graphics, methods"	NA	"e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations"	"RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools"	"GPL-2"	NA	NA	NA	NA	"yes"	"4.2.0"
"cluster"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.1.4"	"recommended"	"R (>= 3.5.0)"	"graphics, grDevices, stats, utils"	NA	"MASS, Matrix"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.2"
"clv"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.3-2.4"	NA	"cluster, class"	NA	NA	NA	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"codetools"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.2-18"	"recommended"	"R (>= 2.1)"	NA	NA	NA	NA	"GPL"	NA	NA	NA	NA	"no"	"4.2.2"
"colorspace"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.1-0"	NA	"R (>= 3.0.0), methods"	"graphics, grDevices, stats"	NA	"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson"	NA	"BSD_3_clause + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"commonmark"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.8.1"	NA	NA	NA	NA	"curl, testthat, xml2"	NA	"BSD_2_clause + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"compiler"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.2.2"	"base"	NA	NA	NA	NA	NA	"Part of R 4.2.2"	NA	NA	NA	NA	NA	"4.2.2"
"config"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.3.2"	NA	NA	"yaml (>= 2.1.19)"	NA	"testthat, knitr, rmarkdown, covr, spelling, withr"	NA	"GPL-3"	NA	NA	NA	NA	"no"	"4.2.0"
"conflicted"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.2.0"	NA	"R (>= 3.2)"	"cli (>= 3.4.0), memoise, rlang (>= 1.0.0)"	NA	"callr, covr, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0), withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"corrplot"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.92"	NA	NA	NA	NA	"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"cowplot"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1.3"	NA	"R (>= 3.5.0)"	"ggplot2 (>= 3.4.0), grid, gtable, grDevices, methods, rlang,
scales"	NA	"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram"	NA	"GPL-2"	NA	NA	NA	NA	"no"	"4.2.3"
"cpp11"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.4.3"	NA	NA	NA	NA	"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"crayon"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.5.2"	NA	NA	"grDevices, methods, utils"	NA	"mockery, rstudioapi, testthat, withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"crosstalk"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.2.1"	NA	NA	"htmltools (>= 0.3.6), jsonlite, lazyeval, R6"	NA	"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.3"
"curl"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"5.2.1"	NA	"R (>= 3.0.0)"	NA	NA	"spelling, testthat (>= 1.0.0), knitr, jsonlite, later,
rmarkdown, httpuv (>= 1.4.4), webutils"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"data.table"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.14.6"	NA	"R (>= 3.1.0)"	"methods"	NA	"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown"	NA	"MPL-2.0 | file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"datasets"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.2.2"	"base"	NA	NA	NA	NA	NA	"Part of R 4.2.2"	NA	NA	NA	NA	NA	"4.2.2"
"DBI"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1.3"	NA	"methods, R (>= 3.0.0)"	NA	NA	"blob, covr, DBItest, dbplyr, downlit, dplyr, glue, hms,
knitr, magrittr, RMariaDB, rmarkdown, rprojroot, RSQLite (>=
1.1-2), testthat, xml2"	NA	"LGPL (>= 2.1)"	NA	NA	NA	NA	"no"	"4.2.0"
"dbplyr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.3.0"	NA	"R (>= 3.1)"	"assertthat (>= 0.2.0), blob (>= 1.2.0), cli (>= 3.4.1), DBI
(>= 1.0.0), dplyr (>= 1.0.10), glue (>= 1.2.0), lifecycle (>=
1.0.3), magrittr, methods, pillar (>= 1.5.0), purrr (>= 1.0.1),
R6 (>= 2.2.2), rlang (>= 1.0.6), tibble (>= 1.4.2), tidyselect
(>= 1.2.0), utils, vctrs (>= 0.5.0), withr"	NA	"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.1.0), testthat (>= 3.0.2), tidyr (>= 1.2.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"dbscan"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1-12"	NA	NA	"Rcpp (>= 1.0.0), graphics, stats"	"Rcpp"	"fpc, microbenchmark, testthat, dendextend, igraph, knitr,
rmarkdown"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.3"
"dendextend"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.17.1"	NA	"R (>= 3.0.0)"	"utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis"	NA	"knitr, rmarkdown, testthat, seriation, colorspace, ape,
microbenchmark, gplots, heatmaply, dynamicTreeCut, pvclust,
corrplot, DendSer, MASS, cluster, fpc, circlize (>= 0.2.5),
covr"	"ggdendro, dendroextras, Hmisc, data.table, rpart, WGCNA,
moduleColor, distory, phangorn, zoo"	"GPL-2 | GPL-3"	NA	NA	NA	NA	"no"	"4.2.0"
"DEoptimR"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1-3"	NA	NA	"stats"	NA	NA	"robustbase"	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.0"
"desc"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.4.3"	NA	"R (>= 3.4)"	"cli, R6, utils"	NA	"callr, covr, gh, spelling, testthat, whoami, withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.3"
"diagram"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.6.5"	NA	"R (>= 2.01), shape"	"stats, graphics"	NA	NA	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.0"
"diffobj"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.3.5"	NA	"R (>= 3.1.0)"	"crayon (>= 1.3.2), tools, methods, utils, stats"	NA	"knitr, rmarkdown"	NA	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.0"
"digest"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.6.34"	NA	"R (>= 3.3.0)"	"utils"	NA	"tinytest, simplermarkdown"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.3"
"diptest"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.77-1"	NA	NA	"graphics, stats"	NA	NA	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.3"
"dplyr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1.4"	NA	"R (>= 3.5.0)"	"cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.4)"	NA	"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"DT"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.33"	NA	NA	"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), httpuv, jsonlite
(>= 0.9.16), magrittr, crosstalk, jquerylib, promises"	NA	"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, future,
testit, tibble"	NA	"GPL-3 | file LICENSE"	NA	NA	NA	NA	"no"	"4.2.3"
"dtplyr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.2.2"	NA	"R (>= 3.3)"	"crayon, data.table (>= 1.13.0), dplyr (>= 1.0.3), ellipsis,
glue, lifecycle, rlang, tibble, tidyselect, vctrs"	NA	"bench, covr, knitr, rmarkdown, testthat (>= 3.0.0), tidyr (>=
1.1.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"dtw"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.23-1"	NA	"R (>= 2.10.0), proxy"	"graphics, grDevices, stats, utils"	NA	NA	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"dtwclust"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"5.5.12"	NA	"R (>= 3.3.0), methods, proxy (>= 0.4-16), dtw"	"parallel, stats, utils, clue, cluster, dplyr, flexclust,
foreach, ggplot2, ggrepel, Matrix (>= 1.5-0), RSpectra, Rcpp,
RcppParallel (>= 4.4.0), reshape2, shiny, shinyjs"	"Rcpp, RcppArmadillo, RcppParallel, RcppThread"	"doParallel, knitr, rmarkdown, testthat"	NA	"GPL-3"	NA	NA	NA	NA	"yes"	"4.2.0"
"e1071"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.7-14"	NA	NA	"graphics, grDevices, class, stats, methods, utils, proxy"	NA	"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam"	NA	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.3"
"egg"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.4.5"	NA	"gridExtra (>= 2.3), ggplot2"	"gtable, grid, grDevices, utils"	NA	"knitr, png"	NA	"GPL-3"	NA	NA	NA	NA	"no"	"4.2.0"
"ellipse"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.5.0"	NA	"R (>= 2.0.0),graphics,stats"	NA	NA	"MASS"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.0"
"ellipsis"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.3.2"	NA	"R (>= 3.2)"	"rlang (>= 0.3.0)"	NA	"covr, testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"emmeans"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.10.1"	NA	"R (>= 4.1.0)"	"estimability (>= 1.4.1), graphics, methods, numDeriv, stats,
utils, mvtnorm"	NA	"bayesplot, bayestestR, biglm, brms, car, coda (>= 0.17),
ggplot2, lattice, logspline, mediation, mgcv, multcomp,
multcompView, nlme, ordinal (>= 2014.11-12), pbkrtest (>=
0.4-1), lme4, lmerTest (>= 2.0.32), MASS, MuMIn, rsm, knitr,
rmarkdown, sandwich, scales, splines, testthat, xtable (>=
1.8-2)"	"CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival"	"GPL-2 | GPL-3"	NA	NA	NA	NA	"no"	"4.2.3"
"evaluate"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.23"	NA	"R (>= 3.0.2)"	"methods"	NA	"covr, ggplot2, lattice, rlang, testthat (>= 3.0.0), withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"factoextra"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.7"	NA	"R (>= 3.1.2), ggplot2 (>= 2.2.0)"	"abind, cluster, dendextend, FactoMineR, ggpubr(>= 0.1.5),
grid, stats, reshape2, ggrepel, tidyr"	NA	"ade4, ca, igraph, MASS, knitr, mclust"	NA	"GPL-2"	NA	NA	NA	NA	"no"	"4.2.0"
"FactoMineR"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.11"	NA	"R (>= 4.0)"	"car,cluster,DT,ellipse,emmeans,flashClust,graphics,grDevices,lattice,leaps,MASS,multcompView,scatterplot3d,stats,utils,ggplot2,ggrepel"	NA	"missMDA,knitr,Factoshiny,markdown"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.3"
"fansi"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.4"	NA	"R (>= 3.1.0)"	"grDevices, utils"	NA	"unitizer, knitr, rmarkdown"	NA	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.0"
"farver"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.1.1"	NA	NA	NA	NA	"covr, testthat (>= 3.0.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"fastDummies"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.7.3"	NA	"R (>= 2.10)"	"data.table, tibble, stringr"	NA	"testthat (>= 2.1.0), knitr, rmarkdown, covr, spelling"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"fastmap"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1.1"	NA	NA	NA	NA	"testthat (>= 2.1.1)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"flashClust"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.01-2"	NA	"R (>= 2.3.0)"	NA	NA	NA	NA	"GPL (>= 2)"	NA	NA	NA	NA	NA	"4.2.0"
"flexclust"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.4-1"	NA	"R (>= 2.14.0), graphics, grid, lattice, modeltools"	"methods, parallel, stats, stats4, class"	NA	"ellipse, clue, cluster, seriation, skmeans"	NA	"GPL-2"	NA	NA	NA	NA	"yes"	"4.2.0"
"flexmix"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.3-19"	NA	"R (>= 2.15.0), lattice"	"graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils"	NA	"actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.0"
"fmsb"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.7.6"	NA	"R (>= 2.2.0)"	NA	NA	"Epi, vcd"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.3"
"fontawesome"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.5.2"	NA	"R (>= 3.3.0)"	"rlang (>= 1.0.6), htmltools (>= 0.5.1.1)"	NA	"covr, dplyr (>= 1.0.8), knitr (>= 1.31), testthat (>= 3.0.0),
rsvg"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"forcats"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.0"	NA	"R (>= 3.4)"	"cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble"	NA	"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0), withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"foreach"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.5.2"	NA	"R (>= 2.5.0)"	"codetools, utils, iterators"	NA	"randomForest, doMC, doParallel, testthat, knitr, rmarkdown"	NA	"Apache License (== 2.0)"	NA	NA	NA	NA	"no"	"4.2.0"
